Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,AUT,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,8.964336061,8.74810077,8.337473933,7.468122178,8.157981417,10.02398224,10.51905426,10.55648195,10.11095115,8.637800775,9.877840612,7.412454964,7.278373612,7.508420606,9.196153378,10.03277149,7.93738991,9.957872845,9.630715758,10.01608979,10.6691222,12.09872528,12.39501083,12.2415021,11.11632884,11.52575714,11.54689564,12.8856688,12.66810984,12.68802031,10.96675339,10.29513151,11.88207929,12.37867117,12.0951402,12.04022221,10.49620955,11.17436249,11.3387908,12.50177614,12.90331749,11.85572636,11.70778253,9.290369169,10.24762803,10.0887654,9.990119264,10.5156695,10.79551833,12.1451875,10.85762915,10.10959525,12.87800183,12.48371677,12.86974617,11.86784446,,
Azerbaijan,AZE,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6292004096,0.673385107,0.8257932517,1.279680506,1.06304036,0.9624730038,1.125623317,1.300528393,1.427720633,1.185037109,1.167916245,0.9776294073,1.502839278,1.746397983,1.853098189,1.927319067,1.636518204,1.678395528,1.440743718,1.664222049,2.558734224,1.832122472,1.143799442,0.9237920212,0.7835958609,,,
Burundi,BDI,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.06413961275,0.06884301924,0.05812340595,0.08712623563,0.08180370013,0.07932421412,0.09382855557,0.1474476892,0.1068043193,0.06822005421,0.09019069104,0.02905732725,0.04222861389,0.07504475516,0.1312158233,4.214888743,5.783809109,6.938987604,6.90684896,6.106226237,7.044037419,7.773548934,9.910758664,15.40709434,16.99397754,20.50009147,22.52967407,23.51794301,23.84446611,22.58341884,23.27834579,22.3506716,22.43166795,22.15375953,20.24498963,20.24657876,20.12951219,22.02482584,21.11123373,22.31560028,21.67167361,20.92040113,22.23039101,21.34629826,21.23109528,21.39257345,21.18697316,22.31047046,20.50393827,22.18991149,21.03692908,22.95546922,20.38588806,21.0016933,17.95378166,14.35086506,,
Benin,BEN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007707892389,0.007813937429,0.007490656277,0.008675170351,0.008157279946,0.007604354289,0.007210204284,0.003453114931,0.003440984121,0,0,0,0,0,0,0,0,0,,,
Burkina Faso,BFA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.2646913365,0.2562650854,0.4480757268,0.3184823064,0.5573920072,0.5937497511,0.5130838988,0.5743759126,0.6409710276,0.5967125232,0.6268753048,0.496575541,0.6138105211,0.8197783999,0.638673203,0.363220976,0.423895697,0.5036017283,0.6538641952,0.5968371025,0.5739930372,0.5165511653,0.3736901495,0.4984304388,0.2012056996,0.3973531879,0.3700760639,0.4270836114,0.4058989576,0.3527225991,0.4274938014,0.3149267835,0.2988701591,0.293439076,0.2825936334,0.2637537115,0.2524558438,0.3050753181,0.1272868698,0.2054674181,0.2369070788,0.2011672711,0.2621393631,0.1789279645,,,
Bulgaria,BGR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.9809222656,0.9284189361,1.077996631,1.96802609,3.77093631,6.382309718,7.062309532,6.585469627,6.709609362,6.784179015,9.489248532,10.37886653,11.61152213,11.85801645,11.79491335,10.82207855,11.30373528,14.04654714,13.23898363,14.11306392,16.64938443,15.57957697,17.35584472,19.39453843,20.37036516,21.64195072,23.39505395,23.34989922,23.83357395,26.75137296,27.12155355,28.97565011,24.68525812,24.78780724,26.54412321,26.84944899,20.48208475,22.251015,24.85111753,25.36873972,24.1994468,25.25501884,25.69103106,26.93385548,,,
Bahrain,BHR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Bahamas, The",BHS,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
